Metadata.Timestamp,Metadata.Length,Metadata.CapLen,Ethernet.SrcMAC,Ethernet.DstMAC,Ethernet.EthernetType,Ethernet.Length,IPv4.IHL,IPv4.Protocol,IPv4.SrcIP,IPv4.DstIP,UDP.SrcPort,UDP.DstPort,UDP.Length,TCP.SrcPort,TCP.DstPort,TCP.Seq,TCP.Ack,TCP.DataOffset,TCP.FIN,TCP.SYN,TCP.RST,TCP.PSH,TCP.ACK,TCP.URG,Payload.Length,Payload.filter,Payload.tbd
1579296321896895,383,383,00:16:6c:00:00:00,01:00:5e:00:00:fb,IPv4,0,5,UDP,192.168.144.25,224.0.0.251,5353(mdns),5353(mdns),349,,,,,,,,,,,,341,00:00:00:00:00:06:00:00:00:,
1579296322004377,60,60,00:16:6c:00:00:00,ff:ff:ff:ff:ff:ff,ARP,0,,,,,,,,,,,,,,,,,,,18,00:00:00:00:00:00:00:00:00:,
1579296322145592,893,893,00:16:6c:00:00:00,01:00:5e:00:00:fb,IPv4,0,5,UDP,192.168.144.25,224.0.0.251,5353(mdns),5353(mdns),859,,,,,,,,,,,,851,00:00:84:00:00:00:00:12:00:,
1579296323145789,893,893,00:16:6c:00:00:00,01:00:5e:00:00:fb,IPv4,0,5,UDP,192.168.144.25,224.0.0.251,5353(mdns),5353(mdns),859,,,,,,,,,,,,851,00:00:84:00:00:00:00:12:00:,
1579296323865809,60,60,00:16:6c:00:00:00,ff:ff:ff:ff:ff:ff,ARP,0,,,,,,,,,,,,,,,,,,,18,00:00:00:00:00:00:00:00:00:,
1579296324681934,304,304,00:16:6c:00:00:00,ff:ff:ff:ff:ff:ff,IPv4,0,5,UDP,192.168.144.25,255.255.255.255,7701,7711,270,,,,,,,,,,,,262,0b:00:00:00:50:89:f3:47:61:,
1579296324729576,42,42,dc:a6:32:00:00:00,00:16:6c:00:00:00,ARP,0,,,,,,,,,,,,,,,,,,,,,
1579296324739796,60,60,00:16:6c:00:00:00,dc:a6:32:00:00:00,ARP,0,,,,,,,,,,,,,,,,,,,18,00:00:00:00:00:00:00:00:00:,
1579296324803726,60,60,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,192.168.144.1,39064,5351(pcp),10,,,,,,,,,,,,2,00:00:,
1579296324803775,72,72,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,ICMPv4,192.168.144.1,192.168.144.25,,,,,,,,,,,,,,,30,45:00:00:1e:9d:5d:40:00:40:,
1579296325150301,893,893,00:16:6c:00:00:00,01:00:5e:00:00:fb,IPv4,0,5,UDP,192.168.144.25,224.0.0.251,5353(mdns),5353(mdns),859,,,,,,,,,,,,851,00:00:84:00:00:00:00:12:00:,
1579296325716773,84,84,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,8.8.8.8,54015,53(domain),50,,,,,,,,,,,,,,
1579296325731213,180,180,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,UDP,8.8.8.8,192.168.144.25,53(domain),54015,146,,,,,,,,,,,,,,
1579296325736210,74,74,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.9.179.227,,,,44024,5222(xmpp-client),2399466726,0,10,false,true,false,false,false,false,,,
1579296325765566,60,60,00:16:6c:00:00:00,01:00:5e:00:00:16,IPv4,0,6,IGMP,192.168.144.25,224.0.0.22,,,,,,,,,,,,,,,,,
1579296325792204,74,74,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.9.179.227,192.168.144.25,,,,5222(xmpp-client),44024,4253393965,2399466727,10,false,true,false,false,true,false,,,
1579296325806361,66,66,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.9.179.227,,,,44024,5222(xmpp-client),2399466727,4253393966,8,false,false,false,false,true,false,,,
1579296325807723,210,210,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,52.9.179.227,,,,44024,5222(xmpp-client),2399466727,4253393966,8,false,false,false,true,true,false,144,3c:73:74:72:65:61:6d:3a:73:,
1579296325863526,66,66,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,52.9.179.227,192.168.144.25,,,,5222(xmpp-client),44024,4253393966,2399466871,8,false,false,false,false,true,false,,,
