Metadata.Timestamp,Metadata.Length,Metadata.CapLen,Ethernet.SrcMAC,Ethernet.DstMAC,Ethernet.EthernetType,Ethernet.Length,IPv4.IHL,IPv4.Protocol,IPv4.SrcIP,IPv4.DstIP,UDP.SrcPort,UDP.DstPort,UDP.Length,TCP.SrcPort,TCP.DstPort,TCP.Seq,TCP.Ack,TCP.DataOffset,TCP.FIN,TCP.SYN,TCP.RST,TCP.PSH,TCP.ACK,TCP.URG,Payload.Length,Payload.filter,Payload.tbd
1579296383635787,854,854,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,820,,,,,,,,,,,,812,80:80:67:e3:5c:c7:96:f3:d8:,
1579296383642974,66,66,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,99.84.169.20,,,,43693,80(http),1903263292,133128377,8,false,false,false,false,true,false,,,
1579296383643033,66,66,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,99.84.169.20,,,,43693,80(http),1903263292,133128377,8,true,false,false,false,true,false,,,
1579296383648228,66,66,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,99.84.169.20,192.168.144.25,,,,80(http),43693,133128377,1903263293,8,true,false,false,false,true,false,,,
1579296383657558,66,66,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,99.84.169.20,,,,43693,80(http),1903263293,133128378,8,false,false,false,false,true,false,,,
1579296383677571,466,466,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,432,,,,,,,,,,,,424,80:e1:18:09:30:46:eb:58:27:,
1579296383706005,295,295,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,261,,,,,,,,,,,,253,80:e1:18:0a:30:46:f7:4c:27:,
1579296383707715,74,74,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,8.8.8.8,38288,53(domain),40,,,,,,,,,,,,,,
1579296383707754,74,74,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,8.8.8.8,38288,53(domain),40,,,,,,,,,,,,,,
1579296383723181,102,102,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,UDP,8.8.8.8,192.168.144.25,53(domain),38288,68,,,,,,,,,,,,,,
1579296383723635,90,90,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,UDP,8.8.8.8,192.168.144.25,53(domain),38288,56,,,,,,,,,,,,,,
1579296383768404,298,298,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,264,,,,,,,,,,,,256,80:e1:18:0b:30:47:0e:80:27:,
1579296383810448,297,297,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,263,,,,,,,,,,,,255,80:e1:18:0c:30:47:1a:1a:27:,
1579296383844013,74,74,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,172.253.112.109,,,,60607,465(urd),2901404230,0,10,false,true,false,false,false,false,,,
1579296383866700,295,295,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,261,,,,,,,,,,,,253,80:e1:18:0d:30:47:31:a8:27:,
1579296383866737,854,854,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,820,,,,,,,,,,,,812,80:80:67:e4:5c:c7:9a:13:d8:,
1579296383878619,74,74,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,TCP,172.253.112.109,192.168.144.25,,,,465(urd),60607,1388538295,2901404231,10,false,true,false,false,true,false,,,
1579296383879760,66,66,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,TCP,192.168.144.25,172.253.112.109,,,,60607,465(urd),2901404231,1388538296,8,false,false,false,false,true,false,,,
1579296383882656,854,854,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,820,,,,,,,,,,,,812,80:80:67:e5:5c:c7:9d:33:d8:,
1579296383904588,219,219,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,185,,,,,,,,,,,,177,80:e1:18:0e:30:47:3d:42:27:,
1579296383950533,98,98,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,64,,,,,,,,,,,,56,00:01:00:24:21:12:a4:42:43:,
1579296383967328,98,98,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,UDP,3.215.71.47,192.168.144.25,49994,36995,64,,,,,,,,,,,,56,00:01:00:24:21:12:a4:42:73:,
1579296383970530,110,110,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,76,,,,,,,,,,,,68,01:01:00:30:21:12:a4:42:73:,
1579296383975376,336,336,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,302,,,,,,,,,,,,294,80:e1:18:0f:30:47:54:d0:27:,
1579296383996291,245,245,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,211,,,,,,,,,,,,203,80:e1:18:10:30:47:60:6a:27:,
1579296384002966,110,110,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,UDP,3.215.71.47,192.168.144.25,49994,36995,76,,,,,,,,,,,,68,01:01:00:30:21:12:a4:42:43:,
1579296384074888,351,351,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,317,,,,,,,,,,,,309,80:e1:18:11:30:47:77:f8:27:,
1579296384113191,246,246,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,212,,,,,,,,,,,,204,80:e1:18:12:30:47:83:92:27:,
1579296384130727,854,854,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,820,,,,,,,,,,,,812,80:80:67:e6:5c:c7:a0:53:d8:,
1579296384139195,854,854,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,820,,,,,,,,,,,,812,80:80:67:e7:5c:c7:a3:73:d8:,
1579296384146260,854,854,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,820,,,,,,,,,,,,812,80:80:67:e8:5c:c7:a6:93:d8:,
1579296384167259,346,346,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,312,,,,,,,,,,,,304,80:e1:18:13:30:47:9b:20:27:,
1579296384202095,241,241,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,207,,,,,,,,,,,,199,80:e1:18:14:30:47:a6:ba:27:,
1579296384274001,361,361,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,327,,,,,,,,,,,,319,80:e1:18:15:30:47:be:48:27:,
1579296384303585,242,242,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,208,,,,,,,,,,,,200,80:e1:18:16:30:47:c9:e2:27:,
1579296384384989,854,854,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,820,,,,,,,,,,,,812,80:80:67:e9:5c:c7:a9:b3:d8:,
1579296384392506,397,397,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,363,,,,,,,,,,,,355,80:e1:18:17:30:47:e1:70:27:,
1579296384393492,854,854,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,820,,,,,,,,,,,,812,80:80:67:ea:5c:c7:ac:d3:d8:,
1579296384412811,281,281,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,247,,,,,,,,,,,,239,80:e1:18:18:30:47:ed:0a:27:,
1579296384468969,454,454,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,420,,,,,,,,,,,,412,80:e1:18:19:30:48:04:3e:27:,
1579296384502918,357,357,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,323,,,,,,,,,,,,315,80:e1:18:1a:30:48:10:32:27:,
1579296384560673,509,509,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,475,,,,,,,,,,,,467,80:e1:18:1b:30:48:27:66:27:,
1579296384604104,428,428,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,394,,,,,,,,,,,,386,80:e1:18:1c:30:48:33:5a:27:,
1579296384645893,854,854,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,820,,,,,,,,,,,,812,80:80:67:eb:5c:c7:af:f3:d8:,
1579296384654153,854,854,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,820,,,,,,,,,,,,812,80:80:67:ec:5c:c7:b3:13:d8:,
1579296384654187,854,854,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,820,,,,,,,,,,,,812,80:80:67:ed:5c:c7:b6:33:d8:,
1579296384683051,65,65,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,31,,,,,,,,,,,,23,80:61:18:1d:30:48:4a:8e:27:,
1579296384683809,60,60,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,25,,,,,,,,,,,,17,80:61:18:1e:30:48:4a:8e:27:,
1579296384683860,1456,1456,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,1422,,,,,,,,,,,,1414,80:61:18:1f:30:48:4a:8e:27:,
1579296384683897,1456,1456,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,1422,,,,,,,,,,,,1414,80:61:18:20:30:48:4a:8e:27:,
1579296384683913,1456,1456,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,1422,,,,,,,,,,,,1414,80:61:18:21:30:48:4a:8e:27:,
1579296384683948,1456,1456,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,1422,,,,,,,,,,,,1414,80:61:18:22:30:48:4a:8e:27:,
1579296384683963,1456,1456,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,1422,,,,,,,,,,,,1414,80:61:18:23:30:48:4a:8e:27:,
1579296384684196,1456,1456,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,1422,,,,,,,,,,,,1414,80:61:18:24:30:48:4a:8e:27:,
1579296384684222,1456,1456,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,1422,,,,,,,,,,,,1414,80:61:18:25:30:48:4a:8e:27:,
1579296384684249,1456,1456,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,1422,,,,,,,,,,,,1414,80:61:18:26:30:48:4a:8e:27:,
1579296384688803,1456,1456,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,1422,,,,,,,,,,,,1414,80:61:18:27:30:48:4a:8e:27:,
1579296384688829,1456,1456,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,1422,,,,,,,,,,,,1414,80:61:18:28:30:48:4a:8e:27:,
1579296384688844,1456,1456,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,1422,,,,,,,,,,,,1414,80:61:18:29:30:48:4a:8e:27:,
1579296384688882,1456,1456,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,1422,,,,,,,,,,,,1414,80:61:18:2a:30:48:4a:8e:27:,
1579296384688897,1179,1179,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,1145,,,,,,,,,,,,1137,80:e1:18:2b:30:48:4a:8e:27:,
1579296384731235,125,125,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,91,,,,,,,,,,,,83,80:e1:18:2c:30:48:56:82:27:,
1579296384774419,250,250,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,216,,,,,,,,,,,,208,80:e1:18:2d:30:48:6d:b6:27:,
1579296384810833,265,265,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,231,,,,,,,,,,,,223,80:e1:18:2e:30:48:79:50:27:,
1579296384867267,433,433,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,399,,,,,,,,,,,,391,80:e1:18:2f:30:48:90:de:27:,
1579296384897162,854,854,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,820,,,,,,,,,,,,812,80:80:67:ee:5c:c7:b9:53:d8:,
1579296384906729,373,373,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,339,,,,,,,,,,,,331,80:e1:18:30:30:48:9c:78:27:,
1579296384906762,854,854,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,820,,,,,,,,,,,,812,80:80:67:ef:5c:c7:bc:73:d8:,
1579296384909955,98,98,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,64,,,,,,,,,,,,56,00:01:00:24:21:12:a4:42:76:,
1579296384927151,98,98,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,UDP,3.215.71.47,192.168.144.25,49994,36995,64,,,,,,,,,,,,56,00:01:00:24:21:12:a4:42:4e:,
1579296384933785,110,110,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,76,,,,,,,,,,,,68,01:01:00:30:21:12:a4:42:4e:,
1579296384955328,110,110,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,UDP,3.215.71.47,192.168.144.25,49994,36995,76,,,,,,,,,,,,68,01:01:00:30:21:12:a4:42:76:,
1579296384965865,587,587,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,553,,,,,,,,,,,,545,80:e1:18:31:30:48:b4:06:27:,
1579296385001461,345,345,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,311,,,,,,,,,,,,303,80:e1:18:32:30:48:bf:a0:27:,
1579296385072977,661,661,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,627,,,,,,,,,,,,619,80:e1:18:33:30:48:d7:2e:27:,
1579296385112534,438,438,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,404,,,,,,,,,,,,396,80:e1:18:34:30:48:e2:c8:27:,
1579296385156751,893,893,00:16:6c:00:00:00,01:00:5e:00:00:fb,IPv4,0,5,UDP,192.168.144.25,224.0.0.251,5353(mdns),5353(mdns),859,,,,,,,,,,,,851,00:00:84:00:00:00:00:12:00:,
1579296385157228,854,854,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,820,,,,,,,,,,,,812,80:80:67:f0:5c:c7:bf:93:d8:,
1579296385157270,854,854,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,820,,,,,,,,,,,,812,80:80:67:f1:5c:c7:c2:b3:d8:,
1579296385173156,605,605,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,571,,,,,,,,,,,,563,80:e1:18:35:30:48:fa:56:27:,
1579296385175487,854,854,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,820,,,,,,,,,,,,812,80:80:67:f2:5c:c7:c5:d3:d8:,
1579296385213616,430,430,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,396,,,,,,,,,,,,388,80:e1:18:36:30:49:05:f0:27:,
1579296385266098,524,524,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,490,,,,,,,,,,,,482,80:e1:18:37:30:49:1d:7e:27:,
1579296385303367,328,328,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,294,,,,,,,,,,,,286,80:e1:18:38:30:49:29:18:27:,
1579296385374310,380,380,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,346,,,,,,,,,,,,338,80:e1:18:39:30:49:40:a6:27:,
1579296385397711,289,289,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,255,,,,,,,,,,,,247,80:e1:18:3a:30:49:4c:40:27:,
1579296385401798,854,854,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,820,,,,,,,,,,,,812,80:80:67:f3:5c:c7:c8:f3:d8:,
1579296385421685,854,854,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,820,,,,,,,,,,,,812,80:80:67:f4:5c:c7:cc:13:d8:,
1579296385430091,854,854,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,820,,,,,,,,,,,,812,80:80:67:f5:5c:c7:cf:33:d8:,
1579296385465476,420,420,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,386,,,,,,,,,,,,378,80:e1:18:3b:30:49:63:74:27:,
1579296385509270,272,272,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,238,,,,,,,,,,,,230,80:e1:18:3c:30:49:6f:68:27:,
1579296385564159,353,353,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,319,,,,,,,,,,,,311,80:e1:18:3d:30:49:86:9c:27:,
1579296385603540,285,285,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,251,,,,,,,,,,,,243,80:e1:18:3e:30:49:92:90:27:,
1579296385663217,854,854,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,820,,,,,,,,,,,,812,80:80:67:f6:5c:c7:d2:53:d8:,
1579296385670210,326,326,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,292,,,,,,,,,,,,284,80:e1:18:3f:30:49:a9:c4:27:,
1579296385670512,854,854,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,820,,,,,,,,,,,,812,80:80:67:f7:5c:c7:d5:73:d8:,
1579296385697741,204,204,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,170,,,,,,,,,,,,162,80:e1:18:40:30:49:b5:b8:27:,
1579296385771603,132,132,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,98,,,,,,,,,,,,90,80:e1:18:41:30:49:cc:ec:27:,
1579296385821020,152,152,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,118,,,,,,,,,,,,110,80:e1:18:42:30:49:d8:86:27:,
1579296385868708,259,259,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,225,,,,,,,,,,,,217,80:e1:18:43:30:49:f0:14:27:,
1579296385872188,98,98,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,64,,,,,,,,,,,,56,00:01:00:24:21:12:a4:42:32:,
1579296385889649,98,98,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,UDP,3.215.71.47,192.168.144.25,49994,36995,64,,,,,,,,,,,,56,00:01:00:24:21:12:a4:42:7a:,
1579296385891176,110,110,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,76,,,,,,,,,,,,68,01:01:00:30:21:12:a4:42:7a:,
1579296385911073,221,221,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,187,,,,,,,,,,,,179,80:e1:18:44:30:49:fc:08:27:,
1579296385928360,854,854,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,820,,,,,,,,,,,,812,80:80:67:f8:5c:c7:d8:93:d8:,
1579296385928388,854,854,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,820,,,,,,,,,,,,812,80:80:67:f9:5c:c7:db:b3:d8:,
1579296385942030,854,854,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,820,,,,,,,,,,,,812,80:80:67:fa:5c:c7:de:d3:d8:,
1579296385952652,110,110,dc:a6:32:00:00:00,00:16:6c:00:00:00,IPv4,0,5,UDP,3.215.71.47,192.168.144.25,49994,36995,76,,,,,,,,,,,,68,01:01:00:30:21:12:a4:42:32:,
1579296385962854,349,349,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,315,,,,,,,,,,,,307,80:e1:18:45:30:4a:13:3c:27:,
1579296385998295,252,252,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,218,,,,,,,,,,,,210,80:e1:18:46:30:4a:1e:d6:27:,
1579296386080322,470,470,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,436,,,,,,,,,,,,428,80:e1:18:47:30:4a:36:64:27:,
1579296386112197,379,379,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,345,,,,,,,,,,,,337,80:e1:18:48:30:4a:41:fe:27:,
1579296386179683,65,65,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,31,,,,,,,,,,,,23,80:61:18:49:30:4a:59:8c:27:,
1579296386186253,60,60,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,25,,,,,,,,,,,,17,80:61:18:4a:30:4a:59:8c:27:,
1579296386186308,1456,1456,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,1422,,,,,,,,,,,,1414,80:61:18:4b:30:4a:59:8c:27:,
1579296386186468,1456,1456,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,1422,,,,,,,,,,,,1414,80:61:18:4c:30:4a:59:8c:27:,
1579296386187944,1456,1456,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,1422,,,,,,,,,,,,1414,80:61:18:4d:30:4a:59:8c:27:,
1579296386187972,1456,1456,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,1422,,,,,,,,,,,,1414,80:61:18:4e:30:4a:59:8c:27:,
1579296386187986,1456,1456,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,1422,,,,,,,,,,,,1414,80:61:18:4f:30:4a:59:8c:27:,
1579296386188107,1456,1456,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,1422,,,,,,,,,,,,1414,80:61:18:50:30:4a:59:8c:27:,
1579296386188133,1456,1456,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,1422,,,,,,,,,,,,1414,80:61:18:51:30:4a:59:8c:27:,
1579296386188147,1456,1456,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,1422,,,,,,,,,,,,1414,80:61:18:52:30:4a:59:8c:27:,
1579296386188173,1456,1456,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,1422,,,,,,,,,,,,1414,80:61:18:53:30:4a:59:8c:27:,
1579296386188197,1456,1456,00:16:6c:00:00:00,dc:a6:32:00:00:00,IPv4,0,5,UDP,192.168.144.25,3.215.71.47,36995,49994,1422,,,,,,,,,,,,1414,80:61:18:54:30:4a:59:8c:27:,
